cliSEE;cliSEEML;cliSEEMR;poblEH;potTEEf;potTEEI;potTEIESP ;potTEIESPB ;prodEE;prodEESP;prodEESPb;ventTEE;ventTEEML;ventTEEMR;A
0;0;0;58;197.2;257.2;32.3;224.9;939.7;60.5;879.2;0;0;0;1998
0;0;0;59.6;377.68;389.3;67.4;321.9;1027.5;106.3;921.2;0;0;0;1999
0;0;0;62;387.39;393.7;71.8;321.9;1230.6;110.8;1119.8;0;0;0;2000
0;0;0;61.8;383.78;390.9;69;321.9;1247;107;1140;0;0;0;2001
130703;13;130690;61.8;389.74;389.7;68.2;321.5;1567.8;101.5;1466.3;0;0;0;2002
131217;10;131207;64.1;402.31;406.5;67.4;339.1;1553.1;91.1;1461.9;556.4;344.2;212.2;2003
136871;8;136863;63.3;402.07;410.8;67.4;343.4;1584.6;94.1;1490.5;621.1;380.4;240.8;2004
141169;5;141164;74.3;384.22;393.2;71;322.3;1680.1;93.9;1586.3;639.2;383.1;256.1;2005
156026;4;156022;83.1;390.25;402.5;73.5;329;1599.2;98.2;1530.4;1368.1;1077.5;290.6;2006
166971;5;166966;85.1;393.78;407.6;75.8;331.7;1648.3;99.4;1552.1;1432.6;1117.6;315;2007
179912;3;179909;87.6;397.58;416.5;83.8;332.6;1688.8;109.7;1579.1;1419.2;1067.9;351.3;2008
187850;3;187847;89.9;407.02;424.1;85.3;338.8;1637.3;102.5;1534.8;1345.3;978;367.3;2009
196620;3;196617;89.9;413.18;417.9;90.4;327.5;1666.9;102.6;1599.7;1386.2;1002.6;383.5;2010
209436;5;209431;93.1;396.89;420.1;95.8;324.3;1575;109.8;1501;1520.7;1073.9;446.7;2011
225491;4;225487;94.5;415.02;420.7;98.5;322.2;1654.5;114.7;1543.8;1741.3;1267;474.3;2012
181231;4;181227;93.5;411.68;419.7;100.6;319.2;1615.3;106.8;1504.9;1821.1;1298.8;522.4;2013
186773;9;186764;94.3;403.92;410.8;90.4;320.4;1673.6;84.5;1586.7;1820.1;1318.9;501.2;2014
191876;5;191871;95.2;490.19;511.2;93.9;417.3;1923.2;85.3;1838.3;1902.9;1405.2;497.7;2015
196814;10;196804;96.6;483.97;485.7;91.4;394.2;2255.7;83.7;2172;1941.8;1430;511.8;2016
205173;10;205163;95.8;492.24;489.3;91.4;398;2264.1;84.8;2179.3;1930.2;1461.3;468.9;2017
210520;58;210462;96.8;483.58;488.5;91.4;397.1;2239.4;85.2;2154.3;2024.7;1568.8;455.9;2018
216573;51;216522;97.5;498.64;510.9;91.4;419.6;2262.3;85;2179.9;2045.5;1599.9;445.6;2019
219508;57;219451;97.8;518.21;530.3;91.4;439;2191.2;85.1;2104.3;1958.7;1536.2;422.4;2020
232888;56;232832;98.6;518.03;530.1;91.4;438.8;2350.1;85.2;2271.8;2080.4;1634.6;445.9;2021
0;0;0;0;517.2;527.9;89.2;438.8;2135.6;81.4;2053.4;2403.7;1952.5;451.2;2022
